vendor_id,pickup_date,pickup_time,dropoff_datetime,trip_distance,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,tip_amount,total_amount,dummy_variable
2,4/18/2014,11:36:32 PM,04/18/2014 11:57:57 PM,2.79,40.72193146,-73.95783997,40.7186203,-73.98802185,3.1,19.1,1
2,4/18/2014,7:33:56 PM,04/18/2014 7:39:33 PM,0.78,40.67047882,-73.98877716,40.67764282,-73.98365021,0,7,1
2,4/18/2014,11:38:50 PM,04/18/2014 11:48:58 PM,2.13,40.71405411,-73.95566559,40.72513199,-73.94670868,0,10.5,1
2,4/18/2014,10:23:03 AM,04/18/2014 10:42:46 AM,4.86,40.77032852,-73.93222046,40.77217865,-73.94630432,0,19,1
2,4/18/2014,11:33:33 PM,04/18/2014 11:36:21 PM,0.56,40.80661774,-73.94269562,40.80965805,-73.95166779,0,5,1
2,4/18/2014,7:56:35 PM,04/18/2014 8:08:07 PM,1.93,40.7555542,-73.92303467,40.73908615,-73.90745544,1,12.5,1
2,4/18/2014,1:34:40 PM,04/18/2014 1:46:16 PM,2.32,40.73402786,-73.86920929,40.71634293,-73.89778137,0,11,1
2,4/18/2014,1:40:35 PM,04/18/2014 1:45:20 PM,0.72,40.79468536,-73.94249725,40.79096603,-73.95113373,0,5.5,1
1,4/18/2014,9:19:43 AM,04/18/2014 9:28:49 AM,1.9,40.83060837,-73.89164734,40.85662842,-73.88072968,0,10,1
2,4/18/2014,10:41:33 PM,04/18/2014 10:55:35 PM,5.42,40.7470932,-73.88889313,40.7675705,-73.92290497,4.62,23.62,1
1,4/18/2014,7:38:45 PM,04/18/2014 7:52:29 PM,5,40.70013809,-73.80757904,40.73871613,-73.85794067,0,18,1
1,4/18/2014,2:00:14 AM,04/18/2014 2:17:26 AM,13.2,40.74580002,-73.90335083,40.71474838,-73.74221802,0,37,1
2,4/18/2014,3:46:27 PM,04/18/2014 4:00:48 PM,1.64,40.6879158,-73.98952484,40.67212677,-73.9838562,0,11,1
2,4/18/2014,7:17:06 PM,04/18/2014 7:25:26 PM,1.29,40.74805069,-73.95661163,40.76871872,-73.9101944,0,9,1
2,4/18/2014,6:27:34 PM,04/18/2014 6:30:43 PM,0.33,40.68933487,-73.9858551,40.68500137,-73.98882294,0,5.5,1
2,4/18/2014,10:32:22 PM,04/18/2014 10:40:55 PM,2.4,40.67760468,-73.97970581,40.65250397,-74.00289917,0,11,1
2,4/18/2014,3:39:18 PM,04/18/2014 3:52:00 PM,3.13,40.81032944,-73.96177673,40.77168655,-73.98890686,1,14,1
1,4/18/2014,10:07:23 PM,04/18/2014 10:10:39 PM,1.2,40.66991806,-73.97351074,40.67123795,-73.98791504,1.3,7.8,1
2,4/18/2014,11:18:11 PM,04/18/2014 11:38:02 PM,6.44,40.75384521,-73.91473389,40.70188522,-73.92405701,0,23,1
