,0
0,11249
1,11215
2,11211
3,11102
4,10027
5,11101
6,11373
7,10029
8,10458
9,11373
10,11435
11,11377
12,11201
13,11101
14,11217
15,11217
16,10027
17,11215
18,11101
19,11221
20,11230
21,11212
22,10027
23,10037
24,10027
25,10031
26,11418
27,11372
28,11375
29,11373
30,11207
31,10025-4403
32,11238
33,11211
34,10037
35,10040
36,10029
37,10455
38,11211
39,10037
40,11377
41,10455
42,11102
43,11377
44,11373
45,10031
46,11216
47,10033
48,10027
49,10031
50,11210
51,11227
52,111354
53,11236
54,111354
55,10029
56,11216
57,11372
58,11217
59,10458
60,11231
61,11101
62,10458
63,11377
64,10027
65,11238
66,11217
67,11106
68,11435
69,10115
70,11249
71,11106
72,11231
73,11216
74,11201-1832
75,11104
76,11377
77,11249
78,10451
79,11373
80,11237
81,11206
82,10035
83,11235
84,11231
85,11212
86,11238
87,11372
88,11231
89,10035
90,10029
91,11373
92,11207
93,11231
94,11201
95,11372
96,11201
97,11215
98,10031
99,11201
100,11231
101,10037
102,10035
103,11378
104,11201-1832
105,11368
106,11377
107,11222
108,10027
109,10025
110,10031
111,10037
112,11225
113,11222
114,10454
115,10037
116,10031
117,11106
118,11105
119,10037
120,11205
121,10129
122,10029
123,10035
124,11217
125,10456
126,10027
127,11201
128,11222
129,10032
130,11222
131,11231
132,10456
133,10029
134,10031
135,11201
136,10027
137,11249
138,11415
139,11105
140,10026
141,10025-4403
142,11217
143,11201
144,11222
145,10458
146,11207
147,11201-1832
148,11222
149,10027
150,11201
151,10452
152,11217
153,10039
154,10027
155,10453
156,11101
157,11211
158,11206
159,10035
160,11435
161,11201
162,10031
163,10037
164,11206
165,11201
166,11231
167,11373
168,11211
169,11375
170,10035
171,11201-1832
172,11101
173,10452
174,11233
175,11109
176,11225
177,11249
178,11201
179,11104
180,11238
181,10030
182,11201-1832
183,11201
184,10037
185,11377
186,11249
187,10033
188,11217
189,10025-4403
190,10035-3501
191,10029
192,10455
193,11102
194,11373
195,11215
196,11249
197,11222
198,11249
199,11106
200,10037
201,11201
202,10031
203,11369
204,10462
205,10031
206,11249
207,10027
208,11249
209,11101
210,10115
211,11377
212,11222
213,11211
214,10039
215,11103
216,11201
217,11231
218,10029
219,11377
220,11372
221,11373
222,11206
223,11215
224,11201
225,10037
226,11205
227,111354
228,11216
229,10031
230,11215
231,10018
232,11207
233,10035
234,11201
235,11368
236,11372
237,11375
238,10035-3501
239,10029
240,11249
241,11215
242,11101
243,11217
244,11215
245,11101
246,11372
247,10026
248,11215
249,11249
250,11222
251,11372
252,11377
253,10035
254,10034
255,11249
256,11222
257,10032
258,10035
259,10026
260,10027
261,11201
262,10456
263,10032
264,11375
265,11201
266,11373
267,11205
268,11201
269,10027
270,10034
271,10115
272,11216
273,11207
274,10451
275,11373
276,10458
277,10467
278,11215
279,10029
280,11377
281,10467
282,11222
283,11211
284,11211
285,11222
286,10030
287,11435
288,11101
289,11217
290,10026
291,11217
292,10458
293,11206
294,11101
295,11104
296,10462
297,11373
298,10027
299,10115
300,10115
301,10027
302,10027
303,10035
304,11233
305,10452
306,11222
307,11213
308,11201
309,11374
310,11373
311,10029
312,10031
313,111354
314,11372
315,11201-1832
316,10035
317,11103
318,11249
319,10027
320,11203
321,10453
322,11101
323,11370
324,11201-1832
325,10034
326,10027
327,10027
328,10035
329,11354
330,10035
331,10029
332,11217
333,10454
334,11373
335,11369
336,10035
337,10030
338,11211
339,10027
340,11222
341,111354
342,11215
343,11103
344,11215
345,10027
346,11249
347,11373
348,11249
349,11201
350,11226
351,11205
352,11211
353,11377
354,11427
355,10033
356,10029
357,11374-2756
358,11201
359,11211
360,10462
361,10027
362,11231
363,10027
364,11211
365,11211
366,11201
367,10129
368,10037
369,10029
370,10026
371,10040
372,11211
373,11101
374,11354
375,11367
376,11217
377,11225
378,11373
379,11103
380,11374
381,10027
382,11101
383,10458
384,11105
385,10461
386,11249
387,10115
388,10035
389,11104
390,11215
391,10037
392,11104
393,11221
394,11211
395,11372
396,11106
397,11233
398,11101
399,11102
400,10031
401,10452
402,11374
403,10030
404,11370
405,10115
406,11372
407,11415
408,11238
409,10458
410,10032
411,11249
412,11221
413,11372
414,10033
415,11201
416,11231
417,10025-4403
418,10459
419,11249
420,10115
421,11215
422,10468
423,10129
424,11372
425,10454
426,11101
427,10462
428,11249
429,11369
430,11201
431,11217
432,10033
433,10027
434,10115
435,11201-1832
436,10029
437,10472
438,11372
439,11104
440,11375
441,10029
442,10459
443,11249
444,11217
445,10129
446,11221
447,10030
448,11201
449,11372
450,11201-1832
451,10035
452,11372
453,11231
454,11415
455,11211
456,10039
457,11201-1832
458,11211
459,10459
460,11201
461,11101
462,11368
463,10031
464,11249
465,10026
466,11101
467,11106
468,11215
469,11377
470,11101
471,10032
472,11102
473,11101
474,10458
475,10031
476,11209
477,10452
478,10027
479,11375
480,11101
481,10040
482,11210
483,10472
484,11369
485,11106
486,11105
487,10037:10454
488,11106
489,10030
490,10035
491,11206
492,11372
493,11222
494,11237
495,11375
496,10026
497,11235
498,10032
499,10029
500,10037
501,10035-3501
502,11211
503,11249
504,10461
505,11101
506,11102
507,11375
508,10039
509,11374-2756
510,10031
511,10467
512,10035
513,11217
514,10026
515,11215
516,10115
517,10039
518,10023
519,11211
520,11217
521,11372
522,10035-3501
523,10034
524,10301
525,11106
526,11101
527,11231
528,10035
529,11211
530,11105
531,11103
532,10029
533,10027
534,11103
535,11222
536,11101
537,11354
538,10031
539,10029
540,10029
541,11201
542,10027
543,11104
544,11375
545,11368
546,11249
547,10031
548,11103
549,10461
550,11415
551,10027
552,10029
553,10451
554,10029
555,11201
556,11237
557,11374
558,10030
559,11212
560,10027
561,11249
562,10027
563,11231
564,11201
565,10026
566,10027
567,10035
568,10452
569,11217
570,10029
571,11373
572,11205
573,11205
574,10037
575,11225
576,11101
577,10455
578,11238
579,11104
580,11201-1832
581,11377
582,11217
583,11217
584,11372
585,10037
586,10128
587,10457-2919
588,11101
589,10037
590,11201
591,11201
592,11215
593,11201
594,10455
595,10037
596,10026
597,11372
598,11215
599,10025-4403
600,10030
601,10473
602,11101
603,11370
604,111354
605,11377
606,10037
607,11377
608,11377
609,11377
610,11373
611,10037
612,11375
613,11201
614,10035
615,11372
616,10027
617,11225
618,10458
619,10456
620,11238
621,11375
622,10027
623,10115
624,11222
625,11377
626,11215
627,10129
628,11102
629,10035
630,11232
631,11217
632,10453
633,10453
634,11354
635,10029
636,11369
637,11434
638,11212
639,10025
640,11102
641,11201
642,11373
643,11368
644,11377
645,10035
646,11373
647,10026
648,10027
649,10030
650,10027
651,10029
652,10129
653,11231
654,10035-3501
655,10029
656,11368:11377
657,10026
658,11415
659,11238
660,10456
661,11203
662,11211
663,10463
664,10457-2919
665,111354
666,11201
667,11235
668,10027
669,11201
670,10029
671,11101
672,11216
673,11418
674,10026
675,11249
676,10472
677,11372
678,10031
679,10026
680,11237
681,10030
682,11201-1832
683,11205
684,10029
685,11211
686,11211
687,10035-3501
688,10029
689,11217
690,10129
691,10039
692,10128
693,10035
694,10456
695,11372
696,10454
697,11227
698,11201
699,11432
700,11373
701,11231
702,11217
703,11415
704,10025
