,0
0,10115
1,10024
2,10016
3,10003
4,07030
5,10002
6,10010
7,10003
8,10003
9,10003
10,11225
11,10013
12,07030
13,07114
14,10003
15,07030
16,10011
17,10012
18,10013
19,10011
20,10011
21,10011
22,10128
23,10128
24,07030
25,10014
26,10010
27,10007
28,10036
29,10011
30,10014
31,10017
32,10003
33,10005
34,07030
35,10019
36,11430
37,10011
38,10022
39,10279
40,10003
41,10011
42,10022
43,10014
44,11106
45,10028
46,10014
47,11234
48,10038
49,10003
50,10019
51,10037
52,11232
53,10007
54,10282
55,10011
56,10022
57,10036
58,10023
59,10017
60,07087
61,07087
62,11105
63,10128
64,10016
65,07078
66,10014
67,10026
68,10019
69,10029
70,10024
71,10005
72,10010
73,10019
74,11430
75,10023
76,11430
77,10014
78,11238
79,10128
80,10002
81,07304
82,07304
83,10065
84,10023
85,10075
86,10106
87,10106
88,10014
89,11430
90,11374-2756
91,100
92,10028
93,10003
94,10282
95,10024
96,07030
97,07114
98,07114
99,10013
100,10003
101,10012
102,10128
103,11201
104,10024
105,10011
106,10028
107,10069
108,10023
109,10011
110,11249
111,10011
112,10013
113,10065
114,
115,10011
116,10003
117,10036
118,10011
119,10014
120,10013
121,07030
122,10023
123,10024
124,11249
125,10016
126,10011
127,10002
128,10009
129,10023
130,10019
131,11378
132,10036
133,10013
134,10024
135,11226
136,11201
137,07094
138,10069
139,10009
140,10025
141,10069
142,10011
143,10021
144,10011
145,07201
146,10005
147,10016
148,10002
149,10028
150,10028
151,10024
152,10022
153,10036
154,11101
155,07047:07087
156,10012
157,11106
158,11370
159,10017
160,11368
161,10065
162,10017
163,10013
164,11436
165,10065
166,10128
167,11430
168,10023
169,10028
170,10017
171,10025
172,07102:07105
173,10065
174,
175,10019
176,10019
177,10011
178,10010
179,10035
180,10019
181,10012
182,10065
183,11211
184,10075
185,10019
186,10016
187,07310
188,07310
189,
190,07083
191,10036
192,10017
193,11101
194,11371
195,11430
196,10022
197,10016
198,10022
199,10013
200,10153
201,10011
202,10035
203,10028
204,10010
205,10019
206,10065
207,11369
208,10037
209,10014
210,10065
211,10024
212,10019
213,10016
214,10016
215,10022
216,10027
217,10014
218,10128
219,10014
220,11216
221,10035
222,11210
223,10021
224,10065
225,10016
226,10021
227,10010
228,10003
229,10012
230,10013
231,10013
232,10014
233,10001
234,10001
235,10001
236,10023
237,10014
238,100036
239,10003
240,10004
241,11217
242,11226
243,10025
244,10016
245,10018
246,10003
247,10003
248,10022
249,10001
250,10010
251,10024
252,10013
253,10013
