,0
0,10003
1,10036
2,10039
3,10013
4,10003
5,10019
6,10003
7,10036
8,10003
9,11430
10,10022
11,10001
12,10001
13,10011
14,10019
15,10065
16,100036
17,10001
18,10065
19,10021
20,10279
21,10036
22,10065
23,10019
24,10128
25,100036
26,10024
27,10017
28,10044
29,10023
30,11430
31,10014
32,10021
33,10021
34,10018
35,10014
36,10038
37,10014
38,10022
39,10004
40,10019
41,10011-6832
42,10017
43,10003
44,10004
45,100036
46,10010
47,10018
48,10021
49,10021
50,10005
51,10012
52,10002
53,10021
54,10001
55,10014
56,10022
57,10013
58,10038
59,10012
60,10010
61,10013
62,10001
63,10012
64,10036
65,10010
66,10119
67,11417
68,10045
69,10199
70,10003
71,10028
72,10003
73,10019
74,10012
75,10017
76,10012-3332
77,10023
78,10025
79,10016
80,10016
81,10035
82,10003
83,11104
84,10016
85,10025
86,10017
87,10036
88,10155
89,10018
90,10018
91,10001-2062
92,10075-0381
93,10001-2062
94,10037
95,10022
96,10075-0381
97,10023
98,10036
99,10019
100,11201-1832
101,10155
102,10025-4403
103,10014
104,10025
105,10003
106,10002-1013
107,10010
108,10030
109,10011
110,10028
111,10282
112,10021
113,10038
114,10024
115,10010
116,10003
117,10016
118,10016
119,10022
120,10011
121,10025
122,10025
123,10280
124,10019
125,10001-7604
126,10019
127,10011-6832
128,10025
129,10013
130,10028
131,10155
132,10036
133,10025
134,10075
135,10021
136,10001
137,10019
138,10018
139,10037
140,10036
141,10012
142,10014
143,10012
144,10010
145,10036
146,11371
147,10011
148,11430
149,10019
150,10016
151,10019
152,10024
153,10035
154,10065
155,10029
156,10018
157,10012-3332
158,10013
159,10011
160,10002
161,10025
162,10035
163,10128
164,10014
165,10016
166,11371
167,10014
168,10001
169,10012
170,10009
171,10009
172,11103
173,10075
174,10036
175,10011
176,10019
177,10019
178,10119
179,10019
180,11371
181,10003
182,10128
183,10016
184,10014
185,10009
186,10016
187,11105
188,10016
189,11249
190,10022
191,10016
192,10003
193,10017
194,10016
195,10011
196,10028
197,10199
198,10025
199,10106
200,10035
201,10028
202,10001
203,10003
204,10035
205,10022
206,10018
207,10024
208,10065
209,10019
210,10035
211,10019
212,10018
213,11371
214,10024
215,10014
216,10021
217,10001
218,10023
219,10035
220,10017
221,10009
222,10128
223,10012
224,10003
225,10009
226,11201
227,11369
228,10024
229,10001-2062
230,11430
231,11201-1832
232,10013
233,10007
234,11206
235,10036
236,10024
237,10001
238,10036
239,10021
240,10018
241,10035
242,10007
243,10002
244,10018
245,10012
246,10021
247,10019
248,10001
249,10010
250,10128
251,10014
252,10014-3621
253,11371
254,10016
255,10065
256,10017
257,10013
258,10017
259,10018
260,10003
261,100036
262,10028
263,10037
264,10035
265,10028
266,10065
267,10019
268,11430
269,10009
270,10016
271,10128
272,10014-3621
273,10011
274,11371
275,11371
276,10016
277,
278,10028
279,10115
280,10023
281,10016
282,10025
283,10021
284,10022
285,10065
286,10024
287,11430
288,10012-3332
289,10002
290,10011
291,10011
292,100014
293,10019
294,10022
295,10002
296,10012
297,10280
298,11101
299,10024
300,10123
