pickup_date,pickup_time,FLOORED_pickup_time,pickup_latitude,pickup_longitude,pickup_zipcode,ZIPFILTER_greater_than_5,ZIPFILTER_less_than_5,Base
4/18/2014,12:00:00 AM,12:00:00 AM,40.8057,-73.9654,10115,10115,10115,B02512
4/18/2014,12:01:00 AM,12:00:00 AM,40.7886,-73.9781,10024,10024,10024,B02512
4/18/2014,12:01:00 AM,12:00:00 AM,40.7445,-73.9811,10016,10016,10016,B02512
4/18/2014,12:01:00 AM,12:00:00 AM,40.7293,-73.9871,10003,10003,10003,B02512
4/18/2014,12:02:00 AM,12:00:00 AM,40.741,-74.0355,07030,07030,07030,B02512
4/18/2014,12:05:00 AM,12:00:00 AM,40.7204,-73.9872,10002,10002,10002,B02512
4/18/2014,12:07:00 AM,12:00:00 AM,40.737,-73.9803,10010,10010,10010,B02512
4/18/2014,12:09:00 AM,12:00:00 AM,40.7386,-73.9893,10003,10003,10003,B02512
4/18/2014,12:09:00 AM,12:00:00 AM,40.7348,-73.9888,10003,10003,10003,B02512
4/18/2014,12:11:00 AM,12:00:00 AM,40.7321,-73.9896,10003,10003,10003,B02512
4/18/2014,12:12:00 AM,12:00:00 AM,40.6673,-73.9599,11225,11225,11225,B02512
4/18/2014,12:14:00 AM,12:00:00 AM,40.7194,-74.0097,10013,10013,10013,B02512
4/18/2014,12:15:00 AM,12:00:00 AM,40.7507,-74.0245,07030,07030,07030,B02512
4/18/2014,12:15:00 AM,12:00:00 AM,40.6948,-74.178,07114,07114,07114,B02512
4/18/2014,12:21:00 AM,12:00:00 AM,40.7324,-73.9949,10003,10003,10003,B02512
4/18/2014,12:25:00 AM,12:00:00 AM,40.7554,-74.0313,07030,07030,07030,B02512
4/18/2014,12:28:00 AM,12:00:00 AM,40.7432,-74.0084,10011,10011,10011,B02512
4/18/2014,12:39:00 AM,12:00:00 AM,40.7267,-73.9998,10012,10012,10012,B02512
4/18/2014,12:39:00 AM,12:00:00 AM,40.7136,-73.9991,10013,10013,10013,B02512
4/18/2014,12:42:00 AM,12:00:00 AM,40.7423,-74.0044,10011,10011,10011,B02512
4/18/2014,12:42:00 AM,12:00:00 AM,40.7415,-73.9988,10011,10011,10011,B02512
4/18/2014,12:44:00 AM,12:00:00 AM,40.735,-73.9986,10011,10011,10011,B02512
4/18/2014,12:44:00 AM,12:00:00 AM,40.7849,-73.9496,10128,10128,10128,B02512
4/18/2014,12:45:00 AM,12:00:00 AM,40.7375,-74.0313,07030,07030,07030,B02512
4/18/2014,12:45:00 AM,12:00:00 AM,40.7414,-74.0085,10014,10014,10014,B02512
4/18/2014,12:48:00 AM,12:00:00 AM,40.7437,-73.9913,10010,10010,10010,B02512
4/18/2014,12:52:00 AM,12:00:00 AM,40.7169,-74.0123,10007,10007,10007,B02512
4/18/2014,12:53:00 AM,12:00:00 AM,40.7612,-73.9936,10036,10036,10036,B02512
4/18/2014,12:56:00 AM,12:00:00 AM,40.7396,-74.0018,10011,10011,10011,B02512
4/18/2014,12:58:00 AM,12:00:00 AM,40.7397,-74.0055,10014,10014,10014,B02512
4/18/2014,1:05:00 AM,1:00:00 AM,40.7528,-73.9675,10017,10017,10017,B02512
4/18/2014,1:08:00 AM,1:00:00 AM,40.7295,-73.99,10003,10003,10003,B02512
4/18/2014,1:09:00 AM,1:00:00 AM,40.724,-74.0045,10005,10005,10005,B02512
4/18/2014,1:12:00 AM,1:00:00 AM,40.7459,-74.0272,07030,07030,07030,B02512
4/18/2014,1:18:00 AM,1:00:00 AM,40.7403,-73.9947,10019,10019,10019,B02512
