greater_zip_proportion_uber,12_AM,1_AM,2_AM,3_AM,4_AM,5_AM,6_AM,7_AM,8_AM,9_AM,10_AM,11_AM,12_PM,1_PM,2_PM,3_PM,4_PM,5_PM,6_PM,7_PM,8_PM,9_PM,10_PM,11_PM,,uber_pickup_hours,max_value_per_hour,max_zip_per_hour
06901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12:00:00 AM,43,10014
06926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1:00:00 AM,26,10014
07002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2:00:00 AM,18,10014
07012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,3:00:00 AM,19,10011
07020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,4:00:00 AM,15,10014
07021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,5:00:00 AM,16,11430
07022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,6:00:00 AM,25,11430
07024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,7:00:00 AM,39,10009
07026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,8:00:00 AM,54,10009
07027,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,9:00:00 AM,33,10019
07030,25,6,2,0,1,1,1,4,1,0,0,1,1,0,3,3,3,6,2,5,6,10,9,5,,10:00:00 AM,31,10019
07032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:00:00 AM,41,10019
07033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,12:00:00 PM,40,10019
07039,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1:00:00 PM,44,10019
07042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2:00:00 PM,53,10003
07043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,3:00:00 PM,82,10019
07047,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,4:00:00 PM,75,10014
07052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,5:00:00 PM,67,10012
07055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,6:00:00 PM,86,10014
07060,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7:00:00 PM,84,10014
07072,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,8:00:00 PM,77,10014
07073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,9:00:00 PM,114,10014
07078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:00:00 PM,140,10014
07080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,11:00:00 PM,142,10014
07083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
