uber_pickup_zips,uber_rides_per_zip,uber_zip_proportion,green_taxi_pickup_zips_SHARED,green_taxi_rides_per_zip,green_taxi_zip_proportion,yellow_taxi_pickup_zips_SHARED,yellow_taxi_rides_per_zip,yellow_taxi_zip_proportion,taxi_COMBINED_rides_per_zip,taxi_COMBINED_zip_proportion,greater_zip_proportion_taxi_or_uber
06901,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
06926,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07002,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07012,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07020,1,0.00005617030837,07020,2,0.00004356634065,#N/A,0,0,2,0.00002117186259,uber
07021,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07022,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07024,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07026,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07027,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07030,95,0.005336179296,#N/A,0,0,07030,4,0.00008237571564,4,0.00004234372519,uber
07032,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07033,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07039,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07042,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07043,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07047,6,0.0003370218502,#N/A,0,0,#N/A,0,0,0,0,uber
07052,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
07055,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07060,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07072,2,0.0001123406167,#N/A,0,0,07072,1,0.00002059392891,1,0.0000105859313,uber
07073,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
07078,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07080,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
07083,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
07086,3,0.0001685109251,#N/A,0,0,#N/A,0,0,0,0,uber
07087,8,0.000449362467,#N/A,0,0,07087,2,0.00004118785782,2,0.00002117186259,uber
07090,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
07093,1,0.00005617030837,#N/A,0,0,07093,1,0.00002059392891,1,0.0000105859313,uber
07094,5,0.0002808515419,07094,2,0.00004356634065,07094,2,0.00004118785782,4,0.00004234372519,uber
